,Genotype_Accuracy,Behavior_Accuracy,Treatment_Accuracy,Overall_Accuracy
Nearest Neighbors,0.6666666666666666,0.9333333333333333,0.6666666666666666,0.4
Random Forest,0.9333333333333333,1.0,0.5333333333333333,0.4666666666666667
Gradient Boost,0.6666666666666666,0.9333333333333333,0.5333333333333333,0.3333333333333333
AdaBoost,0.5333333333333333,1.0,0.5333333333333333,0.26666666666666666
Support Vector,0.8,1.0,0.6666666666666666,0.5333333333333333
Naive Bayes,0.7333333333333333,1.0,0.6,0.4
Gaussian Process,0.7333333333333333,1.0,0.6666666666666666,0.4
Voting,0.8,1.0,0.6666666666666666,0.4666666666666667
RF Binary,0.7333333333333333,1.0,0.5333333333333333,0.4
