,protein,Genotype,Behavior,Treatment,Geno_Behav,Geno_Treat,Behav_Treat,Triple_Interact,importance,ImportanceRank
33,MTOR_N,0.008225228074780499,0.0002838084433082689,0.29115632300923955,0.0023223489619721145,0.5168579233147176,0.3697960603378032,0.11157352230445379,0.017574359177588567,13.0
60,IL1B_N,0.11646315115321441,5.655541578924816e-07,0.007292742670357196,0.09850420847463387,0.7142515565769124,0.6053217913433049,0.024915039456642606,0.01742278973471463,14.0
4,NR2A_N,0.035437858432313514,0.15985458937176844,0.8759504867426218,0.0014933338669514899,0.07329246778484637,0.8548691450388525,0.09826696212074515,0.0168471740227087,15.0
40,RAPTOR_N,0.30707625380108156,0.010653510232742395,0.16643971624080375,0.0004902672525469608,0.7443189511136321,0.4554313004548921,0.7978285145264624,0.016745778455252464,16.0
25,GSK3B_N,0.6372806874452135,1.7373824560517158e-06,0.770153097895121,0.07148394212497584,0.5586237179480227,0.9050285843820216,0.47189731696380344,0.016069037233253102,17.0
37,AMPKA_N,0.041018196303900606,0.4756754904166529,0.6702742262695054,0.001096144692967077,0.6097982496397713,0.5897130753440318,0.49591454971239657,0.015908742072231197,18.0
35,pMTOR_N,0.022075286775063083,5.451735450144666e-07,0.003974053093099699,0.012618933046855418,0.16181868522107556,0.13228964314816996,0.18974616033980354,0.01564264399044235,19.0
39,pNUMB_N,0.6955461221300632,0.0004459862993047972,0.5061093706075239,9.309617501105714e-05,0.10660227570996567,0.2969357566903561,0.9505782605980857,0.01549301341741044,20.0
64,SNCA_N,0.03293067769239088,1.8184635730116359e-12,0.14919550609825233,0.6138450301708981,0.6942883732383163,0.007591505529698852,0.0016043324615550953,0.014459606283869234,21.0
38,NR2B_N,0.02877696853068753,0.00029471596306402764,0.0829554890628775,0.0008119046450763862,0.18132174716391194,0.45341582412309345,0.18622596034446137,0.013099226126861584,22.0
65,Ubiquitin_N,0.7248796597526288,2.947240556923036e-12,0.0038174046881803026,0.9615778611116904,0.044088178248518725,0.01586278618153676,0.027718487455070197,0.012789439889012098,23.0
